ID,Cycliste,Nationality,Points,Racedays,Km,Wins,Top_10,Weight,Height,Age,UCI_rank,All_time_rank,Team,TDF_starts,Giro_starts,Vuelta_starts,Roubaix_starts,MSR_starts,LBL_starts,Ronde_starts,Lombardia_starts,GC_wins,Oneday_Race_wins,ITT_wins,Gt_Participation,Classic_Participation,GT_Classic_Participation,Carreer_Major_Wins,Points_per_Km,Points_per_days,days_between_wins,top10_percent
908,Léo Vincent,france,2,26,3655,0,0,62.0,1.77,25,1862,NC,groupama-fdj,0,0,1,0,0,1,0,1,0,0,0,1,2,3,0,0.0005471956224350205,0.07692307692307693,inf,0.0
909,Romain Seigle,france,43,22,3654,0,2,63.0,1.69,26,569,NC,groupama-fdj,0,0,2,0,0,3,0,1,0,0,0,2,4,6,0,0.01176792556102901,1.9545454545454544,inf,0.09090909090909093
910,Clément Davy,france,0,21,2544,0,2,73.0,1.84,22,2104,NC,groupama-fdj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.09523809523809523
911,Simon Guglielmi,france,52,48,7651,0,0,66.0,1.8,23,721,NC,groupama-fdj,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0.006796497189909816,1.0833333333333333,inf,0.0
912,Mark Cavendish,great-britain,13,37,5753,0,0,70.0,1.75,35,NC,30,bahrain-mclaren,12,5,2,2,10,0,3,0,4,10,2,19,15,34,14,0.0022596905962106732,0.35135135135135137,inf,0.0
913,Sonny Colbrelli,italy,312,48,7966,1,9,74.0,1.76,30,106,295,bahrain-mclaren,4,5,0,0,8,0,4,3,1,14,0,9,15,24,15,0.03916645744413758,6.5,48.0,0.1875
914,Wout Poels,netherlands,405,57,9573,0,6,66.0,1.83,33,91,510,bahrain-mclaren,8,2,6,0,0,7,0,6,1,1,2,16,13,29,2,0.04230648699467252,7.105263157894738,inf,0.10526315789473684
915,Mikel Landa,spain,763,40,6532,0,16,60.0,1.73,31,39,489,bahrain-mclaren,5,5,4,0,2,3,0,8,2,0,0,14,13,27,2,0.11680955296999387,19.075,inf,0.4
916,Heinrich Haussler,australia,57,40,6423,0,2,74.0,1.81,36,517,618,bahrain-mclaren,5,2,5,13,11,0,12,1,0,2,0,12,37,49,2,0.008874357776739842,1.425,inf,0.05
917,Damiano Caruso,italy,420,47,7826,1,5,67.0,1.79,33,92,1319,bahrain-mclaren,6,4,3,0,7,7,0,9,0,1,0,13,23,36,1,0.05366726296958855,8.936170212765957,47.0,0.10638297872340426
